name,url,category,sources,valid,http_status,error
aijobs.net,https://aijobs.net/feed/,jobs,github,NO,404,Not Found
1redDrop - AI,https://1reddrop.com/category/artificial-intelligence/feed/,news,feedspot,YES,200,
404 Media,https://www.404media.co/rss,news,github,YES,200,
Adweek - AI,https://www.adweek.com/category/artificial-intelligence/feed/,news,feedspot,YES,200,
Ahead of AI,https://magazine.sebastianraschka.com/feed,news,github,YES,200,
AI 2 People,https://ai2people.com/feed/,news,feedspot,YES,200,
AI Accelerator Institute,https://aiacceleratorinstitute.com/rss/,news,github,YES,200,
AI Archives – KnowTechie,https://knowtechie.com/category/ai/feed/,news,github,NO,0,<urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failur
AI Business,https://aibusiness.com/rss.xml,news,github,YES,200,
AI for Good Blog,https://aiforgood.itu.int/feed/,news,feedspot,YES,200,
AI Insider,https://theaiinsider.tech/feed/,news,feedspot,YES,200,
AI News (artificialintelligence-news.com),https://www.artificialintelligence-news.com/feed/,news,feedspot,YES,200,
AI Now Institute,https://ainowinstitute.org/category/news/feed,news,github,YES,200,
AI nyheter (aitool.se),https://nyheter.aitool.se/feed/,news,feedspot,YES,200,
AI Revolution Blog,https://airevolution.blog/feed/,news,feedspot,YES,200,
AI Snake Oil,https://aisnakeoil.substack.com/feed,news,github,YES,200,
AI Summer,https://theaisummer.com/feed.xml,news,feedspot,YES,200,
AI Time Journal,https://www.aitimejournal.com/feed/,news,feedspot,YES,200,
AI Weekly,https://aiweekly.co/issues.rss,news,feedspot,YES,200,
AI – AI-TechPark,https://ai-techpark.com/category/ai/feed/,news,github,YES,200,
AI – SiliconANGLE,https://siliconangle.com/category/ai/feed,news,github,YES,200,
AI – Uber Engineering Blog,https://eng.uber.com/category/articles/ai/feed,news,github,NO,404,Not Found
AICorr.com,https://aicorr.com/feed/,news,feedspot,YES,200,
AIhub,https://aihub.org/feed/?cat=-473,news,feedspot,YES,200,
AIhub,https://aihub.org/feed?cat=-473,news,github,YES,200,
AIIOT Talk,https://www.aiiottalk.com/feed/,news,feedspot,YES,200,
AIModels.fyi,https://aimodels.substack.com/feed,news,github,YES,200,
AIwire,https://www.aiwire.net/feed/,news,feedspot,YES,200,
Aleph Alpha Blog,https://aleph-alpha.com/feed/,news,feedspot,NO,404,Not Found
Anaconda Blog,https://www.anaconda.com/blog/feed,news,github,YES,200,
Analytics India Magazine,https://analyticsindiamag.com/feed/,news,github,YES,200,
Analytics India Magazine - AI News,https://analyticsindiamag.com/ai-news-updates/feed/,news,feedspot,YES,200,
Analytics Vidhya Blog,https://www.analyticsvidhya.com/feed/,news,feedspot,YES,200,
Announcements – Stability AI,https://stability.ai/blog?format=rss,news,github,NO,404,Not Found
Another Datum,https://anotherdatum.com/feeds/all.atom.xml?format=xml,news,feedspot,YES,200,
Archie.AI (Medium),https://medium.com/feed/archieai,news,feedspot,YES,200,
Ars Technica - AI,https://arstechnica.com/ai/feed/,news,feedspot,YES,200,
Ars Technica – All content,https://feeds.arstechnica.com/arstechnica/index,news,github,YES,200,
Artificial Intelligence – Futurism,https://futurism.com/categories/ai-artificial-intelligence/feed,news,github,YES,200,
Artificial intelligence – SpaceNews,https://spacenews.com/tag/artificial-intelligence/feed/,news,github,YES,200,
Artificial Intelligence – TechRepublic,https://www.techrepublic.com/rssfeeds/topic/artificial-intelligence/,news,github,YES,200,
Artificial intelligence – The Conversation (EU),https://theconversation.com/europe/topics/artificial-intelligence-ai-90/articles.atom,news,github,YES,200,
Artificial Lawyer,https://www.artificiallawyer.com/feed/,news,feedspot,YES,200,
Artificial-Intelligence.Blog,https://www.artificial-intelligence.blog/ai-news?format=rss,news,feedspot,YES,200,
Artificialis – Medium,https://medium.com/feed/artificialis,news,github,NO,404,Not Found
Artisse AI Blog,https://artisse.ai/feed/,news,feedspot,YES,200,
AssemblyAI Blog,https://www.assemblyai.com/blog/rss/,news,github,NO,404,Not Found
AWS Blog - Machine Learning/AI,https://aws.amazon.com/blogs/machine-learning/category/artificial-intelligence/feed/,news,feedspot,YES,200,
AWS News Blog - AI,https://aws.amazon.com/blogs/aws/category/artificial-intelligence/feed/,news,feedspot,YES,200,
BAIR (Berkeley AI Research) Blog,https://bair.berkeley.edu/blog/feed.xml,news,feedspot+github,YES,200,
Becoming Human,https://becominghuman.ai/feed,news,feedspot,YES,200,
Berkshire Grey Blog,https://www.berkshiregrey.com/feed/,news,feedspot,YES,200,
Big Data Analytics News - AI,https://bigdataanalyticsnews.com/category/artificial-intelligence/feed/,news,feedspot,YES,200,
Big Data – SiliconANGLE,https://siliconangle.com/category/big-data/feed,news,github,YES,200,
Blog Content – TOGETHER,https://www.together.xyz/blog?format=rss,news,github,YES,200,
Blog – neptune.ai,https://neptune.ai/blog/feed,news,github,YES,200,
Blog – PyImageSearch,https://pyimagesearch.com/blog/feed,news,github,YES,200,
Bloomberg Technology,https://feeds.bloomberg.com/technology/news.rss,news,github,YES,200,
Business Insider,https://feeds.businessinsider.com/custom/all,news,github,YES,200,
Business Latest (WIRED),https://www.wired.com/feed/category/business/latest/rss,news,github,YES,200,
Chain of Thought (every.to),https://every.to/chain-of-thought/feed.xml,news,github,YES,200,
Chip Huyen,https://huyenchip.com/feed,news,github,YES,200,
Cisco Blogs - AI,https://blogs.cisco.com/ai/feed,news,feedspot,YES,200,
Clarifai Blog,https://www.clarifai.com/blog/rss.xml,news,feedspot,YES,200,
Cogito Tech Blog,https://www.cogitotech.com/feed/,news,feedspot,YES,200,
Computational Intelligence (Blogspot),http://computational-intelligence.blogspot.com/feeds/posts/default,news,feedspot,YES,200,
Computerworld,http://www.computerworld.com/index.rss,news,github,NO,404,Not Found
Computerworld - AI,https://www.computerworld.com/artificial-intelligence/feed/,news,feedspot,YES,200,
Context by Cohere,https://txt.cohere.ai/rss/,news,github,YES,200,
Contextual AI Blog,https://contextual.ai/blog/feed/,news,feedspot,YES,200,
Copyleaks Blog,https://copyleaks.com/blog/feed,news,feedspot,YES,200,
Crunchbase News,https://news.crunchbase.com/feed,news,github,YES,200,
Crunchbase News - AI,https://news.crunchbase.com/sections/ai/feed/,news,feedspot,YES,200,
cs.CL updates on arXiv.org,https://arxiv.org/rss/cs.CL,news,github,YES,200,
cs.CV updates on arXiv.org,https://arxiv.org/rss/cs.CV,news,github,YES,200,
cs.LG updates on arXiv.org,https://arxiv.org/rss/cs.LG,news,github,YES,200,
DagsHub Blog,https://dagshub.com/blog/rss/,news,github,YES,200,
DailyAI,https://dailyai.com/feed/,news,feedspot,YES,200,
Dan Rose AI Blog,https://www.danrose.ai/blog?format=rss,news,feedspot,YES,200,
Dark Reading,https://www.darkreading.com/rss_simple.asp,news,github,YES,200,
Data Machina,https://datamachina.substack.com/feed,news,feedspot+github,YES,200,
Databricks,https://www.databricks.com/feed,news,github,YES,200,
Datafloq,https://datafloq.com/feed/?post_type=post,news,github,YES,200,
Datanami,https://www.datanami.com/feed/,news,github,YES,200,
DataRobot Blog,https://www.datarobot.com/blog/feed/,news,feedspot,YES,200,
DatumBox,http://blog.datumbox.com/feed/,news,feedspot,YES,200,
David Stutz Blog,https://davidstutz.de/category/blog/feed,news,github,YES,200,
DebuggerCafe,https://debuggercafe.com/feed/,news,github,YES,200,
Deep Tech – Tech.eu,https://tech.eu/category/deep-tech/feed,news,github,YES,200,
DeepCognition.ai Blog,https://deepcognition.ai/feed/,news,feedspot,YES,200,
Deephaven Blog,https://deephaven.io/blog/rss.xml,news,github,YES,200,
DeepMind Blog,https://deepmind.com/blog/feed/basic/,news,github,YES,200,
Department of Product,https://departmentofproduct.substack.com/feed,news,github,YES,200,
DEV Community,https://dev.to/feed,news,github,YES,200,
Digital Thought Disruption,https://digitalthoughtdisruption.com/feed/,news,feedspot,YES,200,
DLabs.AI Blog,https://dlabs.ai/feed/,news,feedspot,YES,200,
Dxcover Blog,https://www.dxcover.com/feed/,news,feedspot,YES,200,
Edmonton Journal - AI,https://edmontonjournal.com/tag/artificial-intelligence/feed.xml,news,feedspot,YES,200,
EE Times,https://www.eetimes.com/feed,news,github,YES,200,
ELEDIA E-AIR,http://www.eledia.org/e-air/feed/,news,feedspot,YES,200,
EleutherAI Blog,https://blog.eleuther.ai/index.xml,news,github,YES,200,
Engadget,https://www.engadget.com/rss.xml,news,github,YES,200,
Eugene Yan,https://eugeneyan.com/rss/,news,github,YES,200,
eWeek - AI,https://www.eweek.com/feed/,news,feedspot,YES,200,
Explosion,https://explosion.ai/feed,news,github,YES,200,
Fast Company - AI,https://www.fastcompany.com/section/artificial-intelligence/rss,news,feedspot,YES,200,
Federal News Network - AI,https://federalnewsnetwork.com/category/technology-main/artificial-intelligence/feed/,news,feedspot,YES,200,
Financial Times - AI,https://www.ft.com/artificial-intelligence?format=rss,news,feedspot,YES,200,
Forrester – AI,https://www.forrester.com/blogs/category/artificial-intelligence-ai/feed,news,github,YES,200,
France 24 - AI,https://www.france24.com/en/tag/artificial-intelligence/rss,news,feedspot,YES,200,
Francesco Corea (Medium),https://medium.com/feed/@Francesco_AI,news,feedspot,YES,200,
Freethink,https://www.freethink.com/feed/all,news,github,YES,200,
Fusemachines Insights,https://insights.fusemachines.com/feed/,news,feedspot,YES,200,
GeekWire - AI,https://www.geekwire.com/tag/ai/feed/,news,feedspot,YES,200,
Generational,https://www.generational.pub/feed,news,github,YES,200,
gHacks Technology News,https://www.ghacks.net/feed/,news,github,YES,200,
Gizmodo,https://gizmodo.com/rss,news,github,YES,200,
Global News – AI,https://globalnews.ca/tag/artificial-intelligence/feed,news,github,YES,200,
Google AI Blog,http://googleaiblog.blogspot.com/atom.xml,news,github,YES,200,
Google Research Blog,https://research.google/blog/rss/,news,feedspot,YES,200,
Government Technology - AI,https://www.govtech.com/artificial-intelligence.rss,news,feedspot,YES,200,
GPTZero Blog,https://gptzero.me/news/rss/,news,feedspot,YES,200,
Gradient Flow,https://gradientflow.com/feed/,news,github,YES,200,
Hacker Noon – AI,https://hackernoon.com/tagged/ai/feed,news,github,YES,200,
HealthTech Magazine,https://feeds.feedburner.com/HealthTechMagazine,news,github,YES,200,
Hugging Face Blog,https://huggingface.co/blog/feed.xml,news,github,YES,200,
IEEE Spectrum – AI,https://spectrum.ieee.org/feeds/topic/artificial-intelligence.rss,news,github,YES,200,
"InfoQ – AI, ML & Data Engineering",https://feed.infoq.com/ai-ml-data-eng/,news,github,YES,200,
InfoWorld - AI,https://www.infoworld.com/artificial-intelligence/feed/,news,feedspot,YES,200,
InfoWorld Analytics,https://www.infoworld.com/category/analytics/index.rss,news,github,YES,200,
InfoWorld Machine Learning,https://www.infoworld.com/category/machine-learning/index.rss,news,github,YES,200,
insideAI News,https://insideainews.com/feed/,news,feedspot,NO,404,Not Found
insideBIGDATA,https://insidebigdata.com/feed,news,github,NO,404,Not Found
Interconnects,https://www.interconnects.ai/feed,news,github,YES,200,
International Business Times,https://www.ibtimes.com/rss,news,github,YES,200,
Isentia,https://www.isentia.com/feed/,news,feedspot,YES,200,
JMLR,https://www.jmlr.org/jmlr.xml,news,github,YES,200,
Just AI News,https://justainews.com/feed/,news,feedspot,YES,200,
Kavita Ganesan,http://kavita-ganesan.com/feed/,news,feedspot,YES,200,
KDnuggets,https://www.kdnuggets.com/feed,news,feedspot+github,YES,200,
KocharTech,https://www.kochartech.com/feed/,news,feedspot,YES,200,
